"samplesize","type","x1","x1.1","ikurt1.qkurtall128","ikurt2","iskew1","iskew2"
2654208,4,3.1,0.236971131024671,2,1,2,1
2654208,4,3.3,0.409764816500002,1,2,2,1
2654208,4,3.5,0.528142124315925,2,1,2,1
2654208,4,3.7,0.62390607602916,2,1,2,1
2654208,4,3.9,0.706330483380775,2,1,2,1
2654208,4,4.1,0.779670619888578,2,1,2,1
2654208,4,4.29999999999999,0.846302876983173,2,1,2,1
2654208,4,4.49999999999999,0.907715699122001,2,1,2,1
2654208,4,4.7,0.964915136666804,2,1,2,1
2654208,4,4.9,1.01861928100757,1,2,2,1
2654208,4,5.1,1.06936216168126,2,1,2,1
2654208,4,5.3,1.11755386512923,2,1,2,1
2654208,4,5.5,1.16351751699688,2,1,2,1
2654208,4,5.70000000000001,1.20751316558349,2,1,2,1
2654208,4,5.90000000000001,1.2497538295654,2,1,2,1
2654208,4,6.1,1.29041664206789,2,1,2,1
2654208,4,6.30000000000001,1.32965080810908,2,1,2,1
2654208,4,6.49999999999999,1.36758342388948,2,1,2,1
2654208,4,6.70000000000001,1.40432382140469,2,1,2,1
2654208,4,6.9,1.43996687134965,2,1,2,1
2654208,4,7.1,1.47459553454332,2,1,2,1
2654208,4,7.29999999999999,1.50828286106873,2,1,2,1
2654208,4,7.5,1.54109357673934,2,1,2,1
2654208,4,7.70000000000001,1.57308535659012,2,1,2,1
2654208,4,7.89999999999999,1.60430985779825,2,1,2,1
2654208,4,8.09999999999999,1.63481356542299,2,1,2,1
2654208,4,8.30000000000001,1.66463849088115,2,1,2,1
2654208,4,8.5,1.69382275338002,2,1,2,1
2654208,4,8.7,1.72240106745619,2,1,2,1
2654208,4,8.89999999999999,1.75040515454001,2,1,2,1
2654208,4,9.09999999999998,1.77786409255508,2,1,2,1
2654208,4,9.30000000000001,1.80480461460464,2,1,2,1
2654208,4,9.49999999999999,1.83125136553797,2,1,2,1
2654208,4,9.70000000000002,1.85722712344763,2,1,2,1
2654208,4,9.9,1.88275299179299,2,1,2,1
2654208,4,10.1,1.90784856678266,2,1,2,1
2654208,4,10.3,1.93253208380777,2,1,2,1
2654208,4,10.5,1.95682054604911,2,1,2,1
2654208,4,10.7,1.98072983784487,2,1,2,1
2654208,4,10.9,2.0042748249727,2,1,2,1
2654208,4,11.1,2.02746944364909,2,1,2,1
2654208,4,11.3,2.0503267797619,2,1,2,1
2654208,4,11.5,2.07285913961678,2,1,2,1
2654208,4,11.7,2.09507811328424,2,1,2,1
2654208,4,11.9,2.11699463147302,2,1,2,1
2654208,4,12.1,2.13861901672147,2,1,2,1
2654208,4,12.3,2.15996102958667,2,1,2,1
2654208,4,12.5,2.18102991041673,2,1,2,1
2654208,4,12.7,2.20183441721245,2,1,2,1
2654208,4,12.9,2.22238286001712,2,1,2,1
2654208,4,13.1,2.2426831322163,2,1,2,1
2654208,4,13.3,2.26274273908069,2,1,2,1
2654208,4,13.5,2.28256882384339,2,1,2,1
2654208,4,13.7,2.30216819156732,2,1,2,1
2654208,4,13.9,2.32154733102761,2,1,2,1
2654208,4,14.1,2.34071243480724,2,1,2,1
2654208,4,14.3,2.35966941778127,2,1,2,1
2654208,4,14.5,2.37842393414486,2,1,2,1
2654208,4,14.7,2.3969813931231,2,1,2,1
2654208,4,14.9,2.41534697348518,2,1,2,1
2654208,4,15.1,2.4335256369725,2,1,2,1
2654208,4,15.3,2.45152214073832,2,1,2,1
2654208,4,15.5,2.46934104888671,2,1,2,1
2654208,4,15.7,2.48698674318893,2,1,2,1
2654208,4,15.9,2.50446343304822,2,1,2,1
2654208,4,16.1,2.52177516477615,2,1,2,1
2654208,4,16.3,2.53892583023788,2,1,2,1
2654208,4,16.5,2.55591917491814,2,1,2,1
2654208,4,16.7,2.57275880545455,2,1,2,1
2654208,4,16.9,2.58944819668065,2,1,2,1
2654208,4,17.1,2.60599069821718,2,1,2,1
2654208,4,17.3,2.62238954064646,2,1,2,1
2654208,4,17.5,2.63864784130165,2,1,2,1
2654208,4,17.7,2.65476860969981,2,1,2,1
2654208,4,17.9,2.67075475264528,2,1,2,1
2654208,5,2.1,0,2,1,1,2
2654208,5,2.3,0,2,1,2,1
2654208,5,2.5,0,1,2,1,2
2654208,5,2.7,0,2,1,2,1
2654208,5,2.9,0,2,1,2,1
2654208,5,3.1,0,2,1,1,2
2654208,5,3.29999999999999,0,2,1,2,1
2654208,5,3.49999999999999,0,2,1,2,1
2654208,5,3.7,0,2,1,2,1
2654208,5,3.9,0,2,1,2,1
2654208,5,4.10000000000001,0,2,1,2,1
2654208,5,4.3,0,2,1,2,1
2654208,5,4.49999999999999,0,2,1,2,1
2654208,5,4.69999999999999,0,2,1,2,1
2654208,5,4.89999999999998,0,2,1,2,1
2654208,5,5.1,0,2,1,2,1
2654208,5,5.30000000000003,0,2,1,2,1
2654208,5,5.5,0,2,1,2,1
2654208,5,5.70000000000002,0,1,2,2,1
2654208,5,5.89999999999996,0,1,2,2,1
2654208,5,6.1,0,2,1,2,1
2654208,5,6.3,0,1,2,2,1
2654208,5,6.49999999999999,0,2,1,2,1
2654208,5,6.7,0,2,1,2,1
2654208,5,6.9,0,2,1,1,2
2654208,5,7.1,0,2,1,2,1
2654208,5,7.3,0,2,1,2,1
2654208,5,7.50000000000001,0,1,2,2,1
2654208,5,7.7,0,1,2,2,1
2654208,5,7.90000000000002,0,2,1,1,2
2654208,5,8.09999999999999,0,2,1,2,1
2654208,5,8.29999999999999,0,2,1,1,2
2654208,5,8.50000000000001,0,1,2,2,1
2654208,5,8.69999999999999,0,2,1,2,1
2654208,5,8.89999999999999,0,2,1,2,1
2654208,5,9.1,0,2,1,2,1
2654208,5,9.29999999999998,0,2,1,2,1
2654208,5,9.50000000000002,0,2,1,2,1
2654208,5,9.7,0,1,2,2,1
2654208,5,9.9,0,2,1,2,1
2654208,5,10.1,0,1,2,2,1
